8369.173,0.250,-7903.250,8980.500
8419.470,0.250,-8058.000,9145.750
8469.202,0.250,-8211.750,9305.250
8519.426,0.250,-8364.000,9471.500
8569.282,0.250,-8516.000,9637.000
8619.446,0.250,-8669.000,9800.250
8669.651,0.250,-8822.000,9965.000
8719.861,0.250,-8974.500,10128.000
8770.572,0.250,-9128.250,10289.000
8820.645,0.250,-9281.000,10459.500
8872.479,0.250,-9439.000,10617.250
8922.778,0.250,-9589.000,10779.750
8973.847,0.250,-9744.750,10953.500
9025.430,0.250,-9903.250,11116.750
9075.414,0.250,-10056.750,11280.250
9126.205,0.250,-10212.250,11447.250
9176.494,0.250,-10368.250,11610.250
9226.336,0.250,-10526.000,11773.000
9276.971,0.250,-10681.000,11935.750
9327.907,0.250,-10838.500,12099.500
9380.421,0.250,-11001.750,12267.750
9489.977,0.300,-11349.750,12621.750
9541.295,0.300,-11499.750,12784.250
9591.507,0.300,-11598.000,12873.750
9642.266,0.300,-11757.750,13054.500
9692.581,0.300,-11938.500,13249.750
9742.822,0.300,-12131.500,13447.750
9794.056,0.300,-12332.250,13655.500
9844.648,0.300,-12529.750,13864.500
9894.663,0.300,-12726.250,14067.500
9944.440,0.300,-12924.500,14269.000
9995.039,0.300,-13124.750,14473.250
10045.925,0.300,-13328.750,14670.500
10096.410,0.300,-13531.000,14875.500
10146.849,0.300,-13732.250,15084.750
10197.218,0.300,-13937.250,15285.250
10247.315,0.300,-14138.750,15487.250
10297.640,0.300,-14341.750,15690.500
10348.756,0.300,-14549.750,15898.750
10399.982,0.300,-14754.750,16107.000
10450.404,0.300,-14957.500,16311.000
10502.298,0.300,-15168.000,16519.250
10552.778,0.300,-15369.000,16715.750
10604.054,0.300,-15574.500,16921.750
10654.953,0.300,-15780.000,17133.250
10705.480,0.300,-15981.000,17335.500
10756.091,0.300,-16182.750,17537.250
10806.307,0.300,-16382.250,17741.000
10856.783,0.300,-16583.750,17948.500
10907.385,0.300,-16789.750,18152.750
10958.025,0.300,-16994.750,18357.500
11065.770,0.350,-17444.500,18799.000
11117.893,0.350,-17620.500,18955.000
11168.559,0.350,-17697.000,18998.500
11218.593,0.350,-17868.500,19179.750
11268.150,0.350,-18080.500,19395.500
11318.201,0.350,-18310.500,19629.500
11368.449,0.350,-18551.750,19872.250
11418.923,0.350,-18792.250,20115.750
11469.834,0.350,-19038.500,20360.250
11520.321,0.350,-19283.000,20602.500
11571.308,0.350,-19528.250,20843.250
11621.806,0.350,-19772.750,21081.750
11672.419,0.350,-20015.500,21329.250
11722.828,0.350,-20259.000,21572.000
11773.871,0.350,-20505.500,21822.000
11825.021,0.350,-20757.250,22071.500
11875.624,0.350,-21005.750,22315.750
11926.465,0.350,-21253.500,22556.500
11976.693,0.350,-21500.000,22801.250
12027.311,0.350,-21745.250,23043.250
12077.713,0.350,-21991.000,23286.750
